model,stage,perf,ER,pct_er0,n_resp,claims_per_resp,perclaim_fab_rate,hedge_rate,abstain_rate,fab_position,n_fab_positioned
Llama-3.1-8B-Instruct-base,base-a (pre-SFT),4.525716485073927,16.88288694356491,44.93698392003477,16107,3.482833550630161,0.34653641841063854,0.48066058235549763,0.01061650214192587,0.3708461354130141,7324
Chem-R-SFT,SFT,42.31513198889381,11.61318929657913,38.28770099956541,16107,6.0114236046439435,0.20569888253155144,0.7759359284783014,0.0003104240392375986,0.3047207221451566,7959
Chem-R-v8,+process,51.724172849817464,2.4302340597255845,81.71602408890544,16107,6.51114422300863,0.037215733015494634,0.7715899919289749,0.0,0.33536095188384596,1941
Chem-R-v8-coupled,+coupled,51.449651623709734,1.7294524119947843,88.04867448935245,16107,6.337865524306202,0.025743505348536498,0.7850003104240393,0.0,0.30824968080413,1283
Chem-R,off-the-shelf GRPO,50.08504450741595,10.5956677221084,40.6282982554169,16107,6.049109083007388,0.19341496207650385,0.7676786490345813,0.00012416961569503942,0.3156566995583833,7727
