experiment,model,task,task_family,dataset,dataset_file,reported_in_paper,weights,n,perf,perf_er0,perf_erpos,pct_er0,overall,IR,IO,ER,EO,gc,cp,length,info,validity,tanimoto,semantic_entropy,claims_per_resp,perclaim_fab_rate,hedge_rate,abstain_rate,fab_position,n_conditions,base_accuracy,samples_per_response,n_matched_token,n_dlogp
diagnosis,+process,retrosynthesis,translation,USPTO-50k,uspto50k/USPTO_50K.csv,True,<released separately: Chem-R process-reward variant>,5007,50.709,52.5504,40.9091,84.1821,8.5892,0.0008,0.245,1.4442,23.3891,6.1322,97.3525,2290.5734,2.6772,99.5007,,,,,,,,,,,,
diagnosis,+process,s2_MolCustom_AtomNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_AtomNum.csv,True,<released separately: Chem-R process-reward variant>,500,7.8,9.8592,2.7586,71.0,10.5726,0.006,7.04,7.6775,18.7961,1.868,84.296,2241.676,0.8333,91.2,,,,,,,,,,,,
diagnosis,+process,s2_MolCustom_BondNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_BondNum.csv,True,<released separately: Chem-R process-reward variant>,500,15.4,17.9167,13.0769,48.0,17.5395,0.0,10.88,11.7297,33.9627,2.532,74.2958,2387.466,1.0605,86.4,,,,,,,,,,,,
diagnosis,+process,s2_MolCustom_FunctionalGroup,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_FunctionalGroup.csv,True,<released separately: Chem-R process-reward variant>,500,55.4,63.9798,22.3301,79.4,11.4218,0.0,4.8,3.9733,26.3005,4.702,93.9648,2328.18,2.0196,94.0,,,,,,,,,,,,
diagnosis,+process,s2_MolEdit_AddComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_AddComponent.csv,True,<released separately: Chem-R process-reward variant>,500,90.2,91.3232,76.9231,92.2,5.7162,0.0,1.12,0.7454,14.9995,5.558,98.6861,2246.008,2.4746,98.6,,,,,,,,,,,,
diagnosis,+process,s2_MolEdit_DelComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_DelComponent.csv,True,<released separately: Chem-R process-reward variant>,500,91.2,92.0086,81.0811,92.6,8.8415,0.0,2.88,0.8158,22.6218,4.984,98.3037,1971.562,2.5279,96.4,,,,,,,,,,,,
diagnosis,+process,s2_MolEdit_SubComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_SubComponent.csv,True,<released separately: Chem-R process-reward variant>,500,67.8,66.9565,77.5,92.0,4.7444,0.0,0.16,0.622,12.9965,6.214,98.7289,1804.524,3.4436,99.8,,,,,,,,,,,,
diagnosis,+process,s2_MolOpt_LogP,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_LogP.csv,True,<released separately: Chem-R process-reward variant>,500,99.0,99.5624,93.0233,91.4,4.6637,0.0,0.32,0.9454,12.4203,5.532,98.3642,2336.53,2.3676,99.6,,,,,,,,,,,,
diagnosis,+process,s2_MolOpt_MR,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_MR.csv,True,<released separately: Chem-R process-reward variant>,500,93.2,94.0133,85.7143,90.2,6.1433,0.0,1.28,0.9891,15.9313,5.432,98.086,2327.32,2.334,98.4,,,,,,,,,,,,
diagnosis,+process,s2_MolOpt_QED,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_QED.csv,True,<released separately: Chem-R process-reward variant>,500,78.6,78.9934,74.4186,91.4,4.9633,0.006,0.32,0.8432,13.3467,5.454,98.4121,2393.988,2.2782,99.6,,,,,,,,,,,,
diagnosis,Chem-R-Faithful,cap2mol,translation,ChEBI-20,chebi-20/test.txt,True,<released separately: Chem-R-Faithful weights>,3300,42.3636,43.2005,36.0825,88.2424,9.1628,0.0188,4.5662,1.8119,21.38,4.5961,97.2867,2212.1152,2.0777,92.303,0.7684,0.6645,,,,,,,,,,
diagnosis,Chem-R-Faithful,mol2cap,translation,ChEBI-20,chebi-20/test.txt,True,<released separately: Chem-R-Faithful weights>,3300,41.4847,42.7535,34.4788,84.6667,16.8201,0.0955,0.0,1.7079,46.7234,4.6779,96.2107,2680.0521,1.7454,100.0,,2.3026,,,,,,,,,,
diagnosis,Chem-R-Faithful,retrosynthesis,translation,USPTO-50k,uspto50k/USPTO_50K.csv,True,<released separately: Chem-R-Faithful weights>,5007,49.9301,50.8262,41.2393,90.6531,8.6626,0.0,0.3728,0.8137,24.0139,6.0336,98.4905,2300.6265,2.6226,99.301,,0.4059,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolCustom_AtomNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_AtomNum.csv,True,<released separately: Chem-R-Faithful weights>,500,9.8,10.0543,9.0909,73.6,10.9019,0.02,7.52,7.876,19.7197,1.772,88.0716,2241.744,0.7905,90.6,,2.2785,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolCustom_BondNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_BondNum.csv,True,<released separately: Chem-R-Faithful weights>,500,18.2,19.5513,15.9574,62.4,16.8441,0.0,11.52,9.7076,32.963,2.434,79.2318,2355.81,1.0332,85.6,,2.2973,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolCustom_FunctionalGroup,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_FunctionalGroup.csv,True,<released separately: Chem-R-Faithful weights>,500,53.2,63.1188,11.4583,80.8,11.8524,0.0,5.28,3.7012,27.4152,4.428,94.293,2354.23,1.8809,93.4,,2.2795,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolEdit_AddComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_AddComponent.csv,True,<released separately: Chem-R-Faithful weights>,500,93.0,93.1677,88.2353,96.6,5.366,0.008,0.8,0.3472,14.5084,5.504,99.3502,2323.032,2.3693,99.0,,0.7045,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolEdit_DelComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_DelComponent.csv,True,<released separately: Chem-R-Faithful weights>,500,93.8,94.0426,90.0,94.0,8.2333,0.008,2.24,0.6255,21.4736,4.922,98.7164,2081.258,2.3649,97.2,,0.3731,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolEdit_SubComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_SubComponent.csv,True,<released separately: Chem-R-Faithful weights>,500,68.0,67.234,80.0,94.0,4.5674,0.0,0.16,0.5025,12.5762,6.136,98.9997,1907.19,3.2173,99.8,,0.1951,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolOpt_LogP,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_LogP.csv,True,<released separately: Chem-R-Faithful weights>,500,98.4,98.954,86.3636,95.6,4.4285,0.0,0.32,0.4835,12.078,5.498,99.1345,2334.76,2.3548,99.6,,0.9081,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolOpt_MR,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_MR.csv,True,<released separately: Chem-R-Faithful weights>,500,91.8,92.043,88.5714,93.0,5.9391,0.0,1.28,0.8327,15.4593,5.18,98.5915,2360.328,2.1946,98.4,,0.9345,,,,,,,,,,
diagnosis,Chem-R-Faithful,s2_MolOpt_QED,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_QED.csv,True,<released separately: Chem-R-Faithful weights>,500,77.8,78.2341,61.5385,97.4,4.7984,0.0,0.32,0.2577,13.296,5.318,99.4762,2411.368,2.2054,99.6,,0.8632,,,,,,,,,,
diagnosis,ChemDFM-R,cap2mol,translation,ChEBI-20,chebi-20/test.txt,True,OpenDFM/ChemDFM-R,3300,48.4848,48.6378,47.7148,83.4242,9.2252,0.0,4.5439,3.6125,20.4006,2.2582,94.1266,989.8209,2.2814,97.0909,0.7899,0.6366,,,,,,,,,,
diagnosis,ChemDFM-R,mol2cap,translation,ChEBI-20,chebi-20/test.txt,True,OpenDFM/ChemDFM-R,3300,36.0645,35.9028,36.2612,54.8788,20.2485,0.0,0.597,7.3458,52.0164,3.0612,84.338,925.8345,3.3064,99.4545,,2.3026,,,,,,,,,,
diagnosis,ChemDFM-R,retrosynthesis,translation,USPTO-50k,uspto50k/USPTO_50K.csv,True,OpenDFM/ChemDFM-R,5007,43.9984,44.7131,43.319,48.7318,12.0766,0.0,0.1811,9.0229,27.9592,2.7851,79.6038,1042.6275,2.6712,99.6006,,0.4958,,,,,,,,,,
diagnosis,ChemDFM-R,s2_MolCustom_AtomNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_AtomNum.csv,True,OpenDFM/ChemDFM-R,500,35.0,34.9593,35.0394,49.2,17.1552,0.0,6.88,24.394,25.3022,0.368,86.385,851.282,0.4323,91.4,,1.3046,,,,,,,,,,
diagnosis,ChemDFM-R,s2_MolCustom_BondNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_BondNum.csv,True,OpenDFM/ChemDFM-R,500,21.2,25.9259,14.2857,59.4,21.5302,0.0,4.96,13.875,47.104,0.196,68.5315,851.566,0.2302,93.8,,1.6381,,,,,,,,,,
